uf,municipio,codigo
AC,ACRELÂNDIA,1120
AC,ASSIS BRASIL,1570
AC,BRASILÉIA,1058
AC,BUJARI,1007
AC,CAPIXABA,1015
AC,CRUZEIRO DO SUL,1074
AC,EPITACIOLÂNDIA,1112
AC,FEIJÓ,1139
AC,JORDÃO,1104
AC,MANOEL URBANO,1554
AC,MARECHAL THAUMATURGO,1040
AC,MÂNCIO LIMA,1090
AC,PLÁCIDO DE CASTRO,1511
AC,PORTO ACRE,1023
AC,PORTO WALTER,1066
AC,RIO BRANCO,1392
AC,RODRIGUES ALVES,1082
AC,SANTA ROSA DO PURUS,1031
AC,SENA MADUREIRA,1457
AC,SENADOR GUIOMARD,1538
AC,TARAUACÁ,1473
AC,XAPURI,1490
AL,ANADIA,27030
AL,ARAPIRACA,27057
AL,ATALAIA,27073
AL,BARRA DE SANTO ANTÔNIO,27090
AL,BARRA DE SÃO MIGUEL,27111
AL,BATALHA,27138
AL,BELO MONTE,27170
AL,BELÉM,27154
AL,BOCA DA MATA,27197
AL,BRANQUINHA,27219
AL,CACIMBINHAS,27235
AL,CAJUEIRO,27251
AL,CAMPESTRE,27081
AL,CAMPO ALEGRE,27278
AL,CAMPO GRANDE,27294
AL,CANAPI,27316
AL,CAPELA,27332
AL,CARNEIROS,27359
AL,CHÃ PRETA,27375
AL,COITÉ DO NÓIA,27391
AL,COLÔNIA LEOPOLDINA,27413
AL,COQUEIRO SECO,27430
AL,CORURIPE,27456
AL,CRAÍBAS,28894
AL,DELMIRO GOUVEIA,27472
AL,DOIS RIACHOS,27499
AL,ESTRELA DE ALAGOAS,27049
AL,FEIRA GRANDE,27510
AL,FELIZ DESERTO,27537
AL,FLEXEIRAS,27553
AL,GIRAU DO PONCIANO,27570
AL,IBATEGUARA,27596
AL,IGACI,27618
AL,IGREJA NOVA,27634
AL,INHAPI,27650
AL,JACARÉ DOS HOMENS,27677
AL,JACUÍPE,27693
AL,JAPARATINGA,27715
AL,JARAMATAIA,27731
AL,JEQUIÁ DA PRAIA,27065
AL,JOAQUIM GOMES,27758
AL,JUNDIÁ,27774
AL,JUNQUEIRO,27790
AL,LAGOA DA CANOA,27812
AL,LIMOEIRO DE ANADIA,27839
AL,MACEIÓ,27855
AL,MAJOR ISIDORO,27871
AL,MAR VERMELHO,27979
AL,MARAGOGI,27898
AL,MARAVILHA,27910
AL,MARECHAL DEODORO,27936
AL,MARIBONDO,27952
AL,MATA GRANDE,27995
AL,MATRIZ DE CAMARAGIBE,28010
AL,MESSIAS,28037
AL,MINADOR DO NEGRÃO,28053
AL,MONTEIRÓPOLIS,28070
AL,MURICI,28096
