nome_final,descricao
codigo_eleicao,Código da eleição. Aparece no TSE como: CD_ELEICAO (1996). Coluna adicionada em 1996.
codigo_tipo_eleicao,Código do tipo de eleição. Aparece no TSE como: CD_TIPO_ELEICAO (1996). Coluna adicionada em 1996.
data_eleicao,Data em que ocorreu a eleição. Aparece no TSE como: DT_ELEICAO (1996). Coluna adicionada em 1996.
eleicao,"Descrição da eleição. Aparece no TSE como: DESCRICAO_ELEICAO (1994_BR), DS_ELEICAO (1996)."
tipo_abrangencia_eleicao,Tipo de abrangência da eleição. Aparece no TSE como: TP_ABRANGENCIA (1996). Coluna adicionada em 1996.
tipo_eleicao,Nome do tipo de eleição. Aparece no TSE como: NM_TIPO_ELEICAO (1996). Coluna adicionada em 1996.
codigo_totalizacao_turno,"Código da situação de totalização do candidato naquele turno. Aparece no TSE como: COD_SIT_TOT_TURNO (1994_BR), CD_SIT_TOT_TURNO (1996)."
totalizacao_turno,"Descrição da situação de totalização do candidato naquele turno. Aparece no TSE como: DESC_SIT_TOT_TURNO (1994_BR), DS_SIT_TOT_TURNO (1996)."
turno,"Número do turno. Aparece no TSE como: NUM_TURNO (1994_BR), NR_TURNO (1996)."
sigla_unidade_eleitoral,"Sigla da Unidade Eleitoral (Em caso de eleição majoritária é a sigla da UF que o candidato concorre (texto) e em caso de eleição municipal é o código TSE do município (número)). Assume os valores especiais BR, ZZ e VT para designar, respectivamente, o Brasil, Exterior e Voto em Trânsito. Aparece no TSE como: SIGLA_UE (1994_BR), SG_UE (1996)."
sigla_unidade_federativa,"Sigla da Unidade da Federação em que ocorreu a eleição. Aparece no TSE como: SIGLA_UF (1994_BR), SG_UF (1996)."
ano,Ano da eleição. Aparece no TSE como: ANO_ELEICAO (1994_BR).
codigo_estado_civil,"Código do estado civil do candidato. Aparece no TSE como: CODIGO_ESTADO_CIVIL (1994_BR), CD_ESTADO_CIVIL (1996)."
codigo_etnia,Código da etnia (cor/raça) do candidato (auto declaração). Aparece no TSE como: CD_COR_RACA (1996). Coluna adicionada em 1996.
codigo_genero,"Código do sexo do candidato. Aparece no TSE como: CODIGO_SEXO (1994_BR), CD_GENERO (1996)."
codigo_grau_instrucao,"Código do grau de instrução do candidato. Gerado internamente pelos sistemas eleitorais. Aparece no TSE como: COD_GRAU_INSTRUCAO (1994_BR), CD_GRAU_INSTRUCAO (1996)."
codigo_municipio_nascimento,"Código TSE do município da nascimento do candidato. Aparece no TSE como: CODIGO_MUNICIPIO_NASCIMENTO (1994_BR), CD_MUNICIPIO_NASCIMENTO (1996)."
codigo_nacionalidade,"Código da nacionalidade do candidato. Aparece no TSE como: CODIGO_NACIONALIDADE (1994_BR), CD_NACIONALIDADE (1996)."
codigo_ocupacao,"Código da ocupação do candidato. Aparece no TSE como: CODIGO_OCUPACAO (1994_BR), CD_OCUPACAO (1996)."
composicao_federacao,Descrição da federação. Aparece no TSE como: DS_COMPOSICAO_FEDERACAO (2022). Coluna adicionada em 2022.
cpf,"CPF do candidato. Aparece no TSE como: CPF_CANDIDATO (1994_BR), NR_CPF_CANDIDATO (1996)."
data_aceite,Aparece no TSE como: DT_ACEITE_CANDIDATURA (2020). Coluna adicionada em 2020.
data_nascimento,"Data de nascimento do candidato. Aparece no TSE como: DATA_NASCIMENTO (1994_BR), DT_NASCIMENTO (1996)."
email,Endereço de e-mail do candidato. Aparece no TSE como: NM_EMAIL (1996). Coluna adicionada em 1996.
estado_civil,"Descrição do estado civil do candidato. Aparece no TSE como: DESCRICAO_ESTADO_CIVIL (1994_BR), DS_ESTADO_CIVIL (1996)."
etnia,Etnia (cor/raça) do candidato (auto declaração). Aparece no TSE como: DS_COR_RACA (1996). Coluna adicionada em 1996.
federacao,Aparece no TSE como: NM_FEDERACAO (2020). Coluna adicionada em 2020.
federacao_composicao,Aparece no TSE como: DS_COMPOSICAO_FEDERACAO (2020). Coluna adicionada em 2020.
federacao_numero,Aparece no TSE como: NR_FEDERACAO (2020). Coluna adicionada em 2020.
federacao_sigla,Aparece no TSE como: SG_FEDERACAO (2020). Coluna adicionada em 2020.
genero,"Descrição do sexo do candidato. Aparece no TSE como: DESCRICAO_SEXO (1994_BR), DS_GENERO (1996)."
