"nome_tse","nome_final","descricao"
"SEQUENCIAL_CANDIDATO",numero_sequencial_candidato,"Número Sequencial do Candidato"
"NM_CANDIDATO","nome_candidato","Nome do candidato"
"DS_CARGO","cargo","Descrição do cargo"
"CD_CARGO","codigo_cargo","Código do cargo"
"NR_CANDIDATO","numero_candidato","Número do candidato"
"SG_UE_SUPERIOR","sigla_uf","Unidade da federação"
"NM_UE","nome_ue","Nome da unidade da federação"
"SG_UE","codigo_ue","Código do município"
"CD_NUM_CNPJ","cnpj_candidato","CNPJ de campanha"
"NR_PARTIDO","numero_partido","Número do partido"
"SG_PARTIDO","sigla_partido","Sigla do partido"
"VR_DESPESA","valor_despesa","Valor da despesa"
"DT_DESPESA","data_despesa","Data da despesa"
"DS_TITULO","tipo_despesa","Tipo de despesa"
"CD_TITULO","codigo_tipo_despesa","Código do tipo de despesa"
"DS_ESP_RECURSO","tipo_recurso","Forma de pagamento (EM ESPÉCIE, CHEQUE, ESTIMADO, NÃO INFORMADO);"
"CD_ESP_RECURSO","codigo_forma_pagamento","Código da Forma de pagamento"
"DS_NR_DOCUMENTO","numero_documento","Número do documento"
"DS_TIPO_DOCUMENTO","tipo_documento","Tipo de documento (Nota Fiscal, Recibo, Outros)"
"CD_TIPO_DOCUMENTO","codigo_tipo_documento","Código do tipo de documento"
"NM_FORNECEDOR","nome_fornecedor","Nome do fornecedor"
"CD_CPF_CNPJ_FORNECEDOR","cpf_cnpj_fornecedor","CPF/CNPJ do fornecedor"
"SG_UE_SUPERIOR_1","sigla_uf_fornecedor","Unidade da federação do fornecedor"
"NM_UE_1","nome_ue_fornecedor","Nome da unidade da federação do fornecedor"
"SG_UE_1","codigo_ue_fornecedor","Código do município do fornecedor"
"NO_UE",,"Unidade da federação do fornecedor"
"SITUACAOCADASTRAL","situacao_cadastral","Batimento Receita Federal do Brasil"
"NM_ADM","nome_administrador","Nome do presidente do comitê financeiro"
"CD_CPF_ADM","cpf_administrador","CPF do presidente do comitê"
