nome_tse,nome_final,descricao
Data e hora,,
Sequencial Candidato,sequencial_candidato,
UF,sigla_uf,
Sigla Partido,sigla_partido,
Número candidato,numero_candidato,
Cargo,cargo,
Nome candidato,nome_candidato,
CPF do candidato,cpf_candidato,
Entrega em conjunto?,entrega_em_conjuto,
Tipo do documento,tipo_documento,
Número do documento,numero_documento,
CPF/CNPJ do fornecedor,cpf_cnpj_fornecedor,
Nome do fornecedor,nome_fornecedor,
Data da despesa,data_despesa,
Valor despesa,valor_despesa,
Tipo despesa,tipo_despesa,
Fonte recurso,fonte_recurso,
Espécie recurso,especie_recurso,
Descriçao da despesa,descricao_despesa,
