"nome_tse","nome_final","descricao"
"Cód. Eleição",,"Código identificador da Eleição"
"Desc. Eleição","descricao_eleicao","Descrição ou nome da Eleição"
"Data e hora",,"Data e hora de geração da informação"
"CNPJ Prestador Conta","cnpj_candidato","CNPJ do candidato"
"Sequencial Candidato",,"Sequencial do candidato na base de dados da Justiça Eleitoral"
"UF","sigla_uf","Unidade da Federação do candidato"
"Sigla da UE","codigo_ue","Código da Unidade Eleitoral"
"Nome da UE","nome_ue","Município de registro da candidatura"
"Sigla  Partido","sigla_partido","Sigla da legenda partidária do candidato registrado na Justiça Eleitoral"
"Número candidato","numero_candidato","Número do candidato registrado na Justiça Eleitoral"
"Cargo","cargo","Candidatura a qual concorre o candidato registrado na Justiça Eleitoral."
"Nome candidato","nome_candidato","Nome do candidato registrado na Justiça Eleitoral"
"CPF do candidato","cpf_candidato","CPF do candidato registrado na Justiça Eleitoral"
"CPF do vice/suplente","cpf_vice_suplente","CPF do candidato a vice/suplente do titular, se houver"
"Tipo de documento","tipo_documento","Tipo de documento, podendo assumir os valores “Recibo”, “Cupom Fiscal”, “Fatura”, “Nota Fiscal”, “Duplicata”, “Outros”"
"Número do documento","numero_documento","Número de documento que comprove a despesa"
"CPF/CNPJ do fornecedor","cpf_cnpj_fornecedor","CPF/CNPJ do fornecedor de bens e/ou serviços declarado à Justiça Eleitoral"
"Nome do fornecedor","nome_fornecedor","Nome do fornecedor de bens e/ou serviços declarado à Justiça Eleitoral"
"Nome do fornecedor (Receita Federal)","nome_fornecedor_receita_federal","Nome do fornecedor de bens e/ou serviços cadastrado na Receita Federal do Brasil"
"Cod setor econômico do fornecedor","codigo_setor_economico_fornecedor","Código CNAE do fornecedor de bens e/ou serviços, se pessoa jurídica"
"Setor econômico do fornecedor","setor_economico_fornecedor","Descrição do CNAE do fornecedor de bens e/ou serviços, se pessoa jurídica"
"Data da despesa","data_despesa","Data da despesa declarada à Justiça Eleitoral"
"Valor despesa","valor_despesa","Valor da despesa em Reais (R$)"
"Tipo despesa","tipo_despesa","Tipo da despesa, podendo ser
""Despesas com pessoal"", ""Encargos sociais"", ""Impostos, contribuições e taxas"", ""Locação/cessão de bens imóveis"",
""Despesas com transporte ou deslocamento"", ""Publicidade por carros de som"", ""Locação/cessão de bens móveis (exceto
veículos)"", ""Correspondências e despesas postais"", ""Materiais de expediente"", ""Combustíveis e lubrificantes"", ""Publicidade
por placas, estandartes e faixas"", ""Serviços prestados por terceiros"", ""Serviços próprios prestados por terceiros"",
""Publicidade por jornais e revistas"", ""Publicidade por materiais impressos"", ""Alimentação"", ""Água"", ""Energia elétrica"",
""Comícios"", ""Pesquisas ou testes eleitorais"", ""Eventos de promoção da candidatura"", ""Encargos financeiros, taxas
bancárias e/ou op. cartão de crédito"", ""Produção de programas de rádio, televisão ou vídeo"", ""Multas eleitorais"", ""Doações
financeiras a outros candidatos/partidos"", ""Criação e inclusão de páginas na internet"", ""Diversas a especificar"",
""Aquisição/Doação de bens móveis ou imóveis"", ""Publicidade por telemarketing”, ""Telefone"", ""Produção de jingles,
vinhetas e slogans"", ""Pré-instalação física de comitês de campanha"", ""Cessão ou locação de veículos"", ""Baixa de recursos
estimáveis em dinheiro"", ""Atividades de militância e mobilização de rua"""
"Descriçao da despesa","descricao_despesa","Descrição da despesa"
