"nome_tse","nome_final","descricao"
"DS_ORGAO","descricao_orgao","Tipo de comitê"
"NR_PARTIDO","numero_partido","Número do partido"
"SG_PARTIDO","sigla_partido","Sigla do partido"
"SG_UE_SUPERIOR","sigla_uf","Unidade da federação"
"NM_UE","nome_ue","Nome da unidade da federação"
"SG_UE","codigo_ue","Código do município"
"NR_CNPJ","cnpj_orgao","CNPJ de campanha"
"VR_DESPESA","valor_despesa","Valor da despesa"
"DT_DESPESA","data_despesa","Data da despesa"
"RTRIM(LTRIM(DR.DS_TITULO))","tipo_despesa","Tipo de despesa"
"CD_TITULO","codigo_tipo_despesa","Código do tipo de despesa"
"DS_ESP_RECURSO","tipo_recurso","Forma de pagamento (EM ESPÉCIE, CHEQUE, ESTIMADO, NÃO INFORMADO)"
"CD_ESP_RECURSO","codigo_forma_pagamento","Código da forma de pagamento"
"DS_NR_DOCUMENTO","numero_documento","Número do documento"
"DS_TIPO_DOCUMENTO","tipo_documento","Tipo de documento (Nota Fiscal, Recibo, Outros)"
"CD_TIPO_DOCUMENTO","codigo_tipo_documento","Código do tipo de documento"
"NM_FORNECEDOR","nome_fornecedor","Nome do fornecedor"
"CD_CPF_CNPJ_FORNECEDOR","cpf_cnpj_fornecedor","CPF/CNPJ do fornecedor"
"SG_UE_SUPERIOR_1","sigla_ue_fornecedor","Unidade da federação do fornecedor"
"NM_UE_1","nome_ue_fornecedor","Nome da unidade da federação do fornecedor"
"SG_UE_1","codigo_ue_fornecedor","Código do município do fornecedor"
"SITUACAOCADASTRAL","situacao_cadastral","Batimento Receita Federal do Brasil"
"NM_MEMBRO","nome_administador","Nome do presidente do comitê"
"NR_CPF","cpf_administrador","Número do CPF do presidente do comitê"
