nome_final,descricao
codigo_ue,"Código do município. Aparece no TSE como: SG_UE (2004), Número UE (2012), Sigla da UE (2014-suplementar), CD_MUNICIPIO (2018). Coluna adicionada em 2004."
codigo_ue_fornecedor,"Código do município do fornecedor. Aparece no TSE como: SG_UE_1 (2008), CD_MUNICIPIO_FORNECEDOR (2018). Coluna adicionada em 2008."
nome_ue,"Nome da unidade da federação. Aparece no TSE como: NO_UE (2004), NM_UE (2008), Município (2012), Nome da UE (2014-suplementar), NM_MUNICIPIO (2018). Coluna adicionada em 2004."
nome_ue_fornecedor,"Unidade da federação do fornecedor. Aparece no TSE como: NO_UE (2006), NM_UE_1 (2008), NM_MUNICIPIO_FORNECEDOR (2018). Coluna adicionada em 2006."
numero_sequencial_candidato,"Número Sequencial do Candidato. Aparece no TSE como: SEQUENCIAL_CANDIDATO (2002), Sequencial Candidato (2010), SQ_CANDIDATO (2018)."
sigla_ue,Sigla da Unidade Eleitoral do candidato (Em caso de eleição majoritária é o nome da UF que o candidato concorre e em caso de eleição municipal é o nome do município). Aparece no TSE como: SG_UE (2018). Coluna adicionada em 2018.
sigla_ue_fornecedor,"Unidade da federação do fornecedor. Aparece no TSE como: UNIDADE_ELEITORAL_FORNECEDOR (2006), SG_UE_SUPERIOR_1 (2008). Coluna adicionada em 2006."
sigla_uf,"Unidade da federação do candidat. Aparece no TSE como: SG_UF (2002), SG_UE_SUP (2004), UNIDADE_ELEITORAL_CANDIDATO (2006), SG_UE (2006), SG_UE_SUPERIOR (2008), UF (2010)."
sigla_uf_fornecedor,"Unidade da federação do fornecedor. Aparece no TSE como: SG_UF_FORNECEDOR (2002), SG_UE_SUPERIOR_1 (2008)."
cnpj_candidato,"CNPJ de campanha. Aparece no TSE como: NUMERO_CNPJ_CANDIDATO (2006), CD_NUM_CNPJ (2008), CNPJ Prestador Conta (2014), NR_CNPJ_PRESTADOR_CONTA (2018). Coluna adicionada em 2006."
cpf_candidato,". Aparece no TSE como: CPF do candidato (2010), NR_CPF_CANDIDATO (2018). Coluna adicionada em 2010."
cpf_vice_candidato,"CPF do candidto à vice/suplente do titular, se houve. Aparece no TSE como: NR_CPF_VICE_CANDIDATO (2018). Coluna adicionada em 2018."
nome_candidato,"Nome do candidato. Aparece no TSE como: NO_CAND (2002), NOME_CANDIDATO (2006), NM_CANDIDATO (2008), Nome candidato (2010)."
numero_candidato,"Número da candidatura. Aparece no TSE como: NR_CAND (2002), NUMERO_CANDIDATO (2006), NR_CANDIDATO (2008), Número candidato (2010)."
numero_candidato_fornecedor,"Número do candidato declarado pelo prestador de contas, quando fornecedor candidato. Aparece no TSE como: NR_CANDIDATO_FORNECEDOR (2018). Coluna adicionada em 2018."
nome_partido,Nome do partido do candidato. Aparece no TSE como: NM_PARTIDO (2018). Coluna adicionada em 2018.
nome_partido_fornecedor,"Nome do partido declarado pelo prestador de contas, quando fornecedor candidato ou órgão partidário. Aparece no TSE como: NM_PARTIDO_FORNECEDOR (2018). Coluna adicionada em 2018."
numero_partido,"Número do partido. Aparece no TSE como: NR_PART (2004), NUMERO_PARTIDO (2006), NR_PARTIDO (2006). Coluna adicionada em 2004."
numero_partido_doador,"Número do partido declarado pelo prestador de contas, quando fornecedor candidato ou órgão partidário. Aparece no TSE como: NR_PARTIDO_FORNECEDOR (2018). Coluna adicionada em 2018."
numero_partido_fornecedor,"Número do partido declarado pelo prestador de contas, quando fornecedor candidato ou órgão partidário. Aparece no TSE como: NR_PARTIDO_FORNECEDOR (2018). Coluna adicionada em 2018."
sigla_partido,"Sigla do partido do candidato. Aparece no TSE como: SG_PART (2002), SIGLA_PARTIDO (2006), SG_PARTIDO (2008), Sigla Partido (2010), Sigla  Partido (2012)."
