"nome_tse","nome_final","descricao"
"DT_GERACAO",,"Data de geração das informaçãoes (data da extração dos dados)"
"HH_GERACAO",,"Hora de geração das informações (hora da extração dos dados) – Horário de Brasília"
"ANO_ELEICAO",,"Ano da eleição (referente ao ano eleitoral da pesquisa)"
"CD_TIPO_ELEICAO","codigo_tipo_eleicao","Código do tipo de eleição "
"NM_TIPO_ELEICAO","nome_tipo_eleicao","Nome do tipo de eleião"
"TP_PRESTACAO_CONTAS","tipo_prestacao_contas","Tipo de entrega da prestaçao de contas. Pode assumir os valores: Relatório financeiro (referente à entrega do relatório financeiro); Parcial (referente à entrega parcial de prestação de contas); Final (referente à entrega final da prestação)"
"DT_PRESTACAO_CONTAS","data_prestacao_contas","Data de entrega da prestação de contas junto ao TSE"
"SQ_PRESTADOR_CONTAS",,"Sequencial de identificação do prestador de contas junto à Justiça Eleitoral"
"SG_UF","sigla_uf","Sigla da unidade da federação de abrangência do prestador de contas"
"DS_TIPO_DOCUMENTO","tipo_documento","Tipo de documento. Pode assumir os valores ‘Recibo’, ‘Cupom Fiscal’, ‘Fatura’, ‘Nota Fiscal’, ‘Duplicata’, ‘Outros’"
"NR_DOCUMENTO","numero_documento","Número do documento que comprove a despesa"
"CD_FONTE_DESPESA","codigo_fonte_recurso","Código de identificação do tipo de fonte da despesa, informado pelo prestador de contas"
"DS_FONTE_DESPESA","fonte_recurso","Descrição do tipo de fonte do recurso da despesa, informado pelo prestador de contas"
"CD_ORIGEM_DESPESA","codigo_origem_despesa","Código de identificação do tipo de origem da despesa (DRD), informado pelo prestador de contas em relação à despesa"
"DS_ORIGEM_DESPESA","origem_despesa","Descrição do tipo de origem da despesa (DRD), informado pelo prestador de contas em relação à despesa."
"CD_NATUREZA_DESPESA","codigo_natureza_despesa","Código da natureza de recursos da despesa"
"DS_NATUREZA_DESPESA","natureza_despesa","Descrição da natureza de recursos da despesa. Pode assumir os valores ‘Financeiro’ ou ‘Estimável’"
"CD_ESPECIE_RECURSO","codigo_especie_recurso","Código de identificação da espécie de recursos para pagamento da despesa"
"DS_ESPECIE_RECURSO","especie_recurso","Descrição da espécie do recurso para pagamnto da despesa"
"SQ_DESPESA",,"Sequencial de identificação do registro da despesa declarada pelo prestador de contas"
"SQ_PARCELAMENTO_DESPESA",,"Sequencial de identificação do registro da despesa parcelada paga, declarada pelo prestador de contas"
"DT_PAGTO_DESPESA","data_despesa","Data de pagamento da despesa declarada à Justiça Eleitoral"
"DS_DESPESA","despesa","Descrição da despesa"
"VR_PAGTO_DESPESA","valor_despesa","Valor pago da despesa em Reais (R$), informada pelo prestador de contas."
