nome_tse,nome_final,descricao
Cód. Eleição,,
Desc. Eleição,descricao_eleicao,
Data e hora,,
Sequencial Diretorio,sequencial_diretorio,
UF,sigla_uf,
Número UE,numero_ue,
Município,municipio,
Tipo diretorio,tipo_diretorio,
Sigla  Partido,sigla_partido,
Tipo do documento,tipo_documento,
Número do documento,numero_documento,
CPF/CNPJ do fornecedor,cpf_cnpj_fornecedor,
Nome do fornecedor,nome_fornecedor,
Nome do fornecedor (Receita Federal),nome_fornecedor_receita_federal,
Cod setor econômico do doador,codigo_setor_economico_doador,
Setor econômico do fornecedor,setor_economico_fornecedor,
Data da despesa,data_despesa,
Valor despesa,valor_despesa,
Tipo despesa,tipo_despesa,
Descrição da despesa,descricao_despesa,
