"nome_tse","nome_final","descricao"
"DS_ORGAO","orgao","Tipo de comitê"
"NR_PART","numero_partido","Número do partido"
"SG_PART","sigla_partido","Sigla do partido"
"SG_UE_SUP","sigla_unidade_federativa","Unidade da federação"
"NO_UE","unidade_eleitoral","Nome da unidade da federação"
"SG_UE","codigo_unidade_eleitoral","Código do município"
"VR_DESPESA","valor","Valor da despesa"
"DT_DOC_DESP","data","Data da despesa"
"RTRIM(LTRIM(DR.CD_TITULO))","tipo","Tipo de despesa"
"CD_TITULO","codigo_tipo","Código do tipo de despesa"
"DECODE(REC.TP_RECURSO,0,'EMESPÉCIE',1,'CHEQUE',2,'ESTIMADO','NÃOINFORMADO')","tipo_recurso","Forma de pagamento (EM ESPÉCIE, CHEQUE, ESTIMADO, NÃO INFORMADO)"
"TP_RECURSO","codigo_forma_pagamento","Código da forma de pagamento"
"NR_DOC_DESP","numero_documento","Número do documento"
"DS_TIPO_DOCUMENTO","tipo_documento","Tipo de documento (Nota Fiscal, Recibo, Outros)"
"CD_DOC","codigo_tipo_documento","Código do tipo de documento"
"NO_FOR","fornecedor","Nome do fornecedor"
"CD_CPF_CGC","cpf_cnpj_fornecedor","CPF/CNPJ do fornecedor"
"RV_MEANING","situacao_cadastral","Batimento Receita Federal do Brasil"
