nome_tse,nome_final,descricao
SEQUENCIAL_CANDIDATO,sequencial_candidato,
NM_CANDIDATO,nome_candidato,
DS_CARGO,descricao_cargo,
CD_CARGO,codigo_cargo,
NR_CANDIDATO,numero_candidato,
SG_UE_SUPERIOR,sigla_ue_superior,
NM_UE,nome_ue,
SG_UE,sigla_ue,
CD_NUM_CNPJ,cpf_cnpf_candidato,
NR_PARTIDO,numero_partido,
SG_PARTIDO,sigla_partido,
VR_DESPESA,valor_despesa,
DT_DESPESA,data_despesa,
DS_TITULO,descricao_titulo,
CD_TITULO,codigo_titulo,
DS_ESP_RECURSO,especie_recurso,
CD_ESP_RECURSO,codigo_especie_recurso,
DS_TIPO_DOCUMENTO,descricao_tipo_documento,
DS_NR_DOCUMENTO,descricao_numero_documento,
DS_TIPO_DOCUMENTO,descricao_tipo_documento,
CD_TIPO_DOCUMENTO,codigo_tipo_documento,
NM_FORNECEDOR,nome_fornecedor,
CD_CPF_CNPJ_FORNECEDOR,cpf_cnpj_fornecedor,
SG_UE_SUPERIOR_1,sigla_ue_superior_1,
NM_UE_1,nome_ue_1,
SG_UE_1,sigla_ue_1,
NO_UE,nome_ue,
SITUACAOCADASTRAL,situacao_cadastral,
NM_ADM,nome_administrador,
CD_CPF_ADM,cpf_administrador,
