nome_tse,nome_final,descricao
Cód. Eleição,,
Desc. Eleição,descricao_eleicao,
Data e hora,,
Sequencial Candidato,sequencial_candidato,
UF,sigla_uf,
Numero UE,numero_ue,
Municipio,municipio,
Sigla  Partido,sigla_partido,
Numero candidato,numero_candidato,
Cargo,cargo,
Nome candidato,nome_candidato,
CPF do candidato,cpf_candidato,
Numero Recibo Eleitoral,numero_recido_eleitoral,
Numero do documento,numero_documento,
CPF/CNPJ do doador,cpf_cnpj_doador,
Nome do doador,nome_doador,
Nome do doador (Receita Federal),nome_doador_receita_federal,
Sigla UE doador,sigla_ue_doador,
Número partido doador,numero_partido_doador,
Número candidato doador,numero_candidato_doador,
Cod setor econômico do doador,codigo_setor_economico_doador,
Setor econômico do doador,setor_economico_doador,
Data da receita,data_receita,
Valor receita,valor_receita,
Tipo receita,tipo_receita,
Fonte recurso,fonte_recurso,
Especie recurso,especie_recurso,
Descricao da receita,descricao_receita,
