nome_tse,nome_final,descricao
DS_ORGAO,descricao_orgao,
NR_PARTIDO,numero_partido,
SG_PARTIDO,sigla_partido,
SG_UE_SUPERIOR,sigla_ue_superior,
NM_UE,nome_ue,
SG_UE,sigla_ue,
NR_CNPJ,cnpj,
VR_RECEITA,valor_receita,
DT_RECEITA,data_receita,
RTRIM(LTRIM(DR.DS_TITULO)),descricao_titulo,
CD_TITULO,codigo_titulo,
DS_ESP_RECURSO,especie_recurso,
CD_ESP_RECURSO,codigo_especie_recurso,
NM_DOADOR,nome_doador,
CD_CPF_CNPJ_DOADOR,cpf_cnpj_doador,
SG_UE_SUPERIOR_1,sigla_ue_superior_1,
NM_UE_1,nome_ue_1,
SG_UE_1,sigla_ue_1,
SITUACAOCADASTRAL,situacao_cadastral,
NM_MEMBRO,nome_membro,
NR_CPF,numero_cpf,
