nome_tse,nome_final,descricao
Cód. Eleição,,
Desc. Eleição,descricao_eleicao,
Data e hora,,
Sequencial Diretorio,sequencia_diretorio,
UF,sigla_uf,
Número UE,numero_ue,
Município,municipio,
Tipo diretorio,tipo_diretorio,
Sigla  Partido,sigla_partido,
Número Recibo Eleitoral,numero_recibo_eleitoral,
Número do documento,numero_documento,
CPF/CNPJ do doador,cpf_cnpj_doador,
Nome do doador,nome_doador,
Nome do doador (Receita Federal),nome_doador_receita_federal,
Sigla UE doador,sigla_ue_doador,
Número partido doador,numero_partindo_doador,
Número candidato doador,numero_candidato_doador,
Cod setor econômico do doador,codigo_setor_economico_doador,
Setor econômico do doador,setor_economico_doador,
Data da receita,data_receita,
Valor receita,valor_receita,
Tipo receita,tipo_receita,
Fonte recurso,fonte_recurso,
Espécie recurso,especie_recurso,
Descrição da receita,descricao_receita,
