"nome_tse","nome_final","descricao"
"SEQUENCIAL_CANDIDATO",,"Número Sequencial do Candidato"
"SG_UF","sigla_uf","Unidade da federação do candidato"
"SG_PART","sigla_partido","Sigla do partido do candidato"
"DS_CARGO","cargo","Descrição do cargo"
"NO_CAND","nome_candidato","Nome do candidato"
"NR_CAND","numero_candidato","Número da candidatura"
"DT_RECEITA","data_receita","Data da receita"
"CD_CPF_CGC","cpf_cnpj_doador","CPF/CNPJ do doador"
"SG_UF_DOADOR","sigla_uf_doador","Unidade da federação do doador"
"NO_DOADOR","nome_doador","Nome do doador"
"VR_RECEITA","valor_receita","Valor da receita"
"TP_RECURSO","tipo_recurso","Tipo de recurso (Cheque, TED, Dinheiro, etc)"
