nome_tse,nome_final,descricao
SEQUENCIAL_CANDIDATO,sequencial_candidato,
NOME_CANDIDATO,nome_candidato,
DESCRICAO_CARGO,descricao_cargo,
CODIGO_CARGO,codigo_cargo,
NUMERO_CANDIDATO,numero_candidato,
UNIDADE_ELEITORAL_CANDIDATO,sigla_ue,
NUMERO_CNPJ_CANDIDATO,cnpj_candidato,
NUMERO_PARTIDO,numero_partido,
SIGLA_PARTIDO,sigla_partido,
VALOR_RECEITA,valor_receita,
DATA_RECEITA,data_receita,
TIPO_RECEITA,tipo_receita,
CODIGO_TIPO_RECEITA,codigo_tipo_receita,
DESCRICAO_TIPO_RECURSO,descricao_tipo_recurso,
CODIGO_TIPO_RECURSO,codigo_tipo_recurso,
NOME_DOADOR,nome_doador,
NUMERO_CPF_CGC_DOADOR,cpf_cnpj_doador,
UNIDADE_ELEITORAL_DOADOR,sigla_ue_doador,
SITUACAO_CADASTRAL,situacao_cadastral,
