"nome_tse","nome_final","descricao"
"Data e hora",,
"UF","sigla_uf","Unidade da Federação do candidato"
"Tipo partido","tipo_partido","Tipo do Partido"
"Sigla Partido","sigla_partido","Sigla do partido"
"Tipo do documento","tipo_documento","Tipo do Documento"
"Número do documento","numero_documento","Número do documento referente à transação bancária ou comprovante da doação estimável"
"CPF/CNPJ do doador","cpf_cnpj_doador","CPF/CNPJ do doador declarado à Justiça Eleitoral"
"Nome do doador","nome_doador","Nome do doador declarado à Justiça Eleitoral"
"Data da receita","data","Data da doação declarada à Justiça Eleitoral"
"Valor receita","valor","Valor da doação em Reais (R$)"
"Tipo receita","tipo","Tipo da doação, podendo ser “Recursos Próprios”, “Recursos de Pessoas Físicas”, “Doações pela internet”, “Recursos de Outros"
"Fonte recurso","fonte_recurso","Fonte recurso,fonte_recurso,""Fonte do recurso da doação, podendo ser “Fundo Partidário” ou “Outros Recursos”"
"Espécie recurso","tipo_recurso","Espécie do recurso da doação, podendo assumir os valores “Cheque”, “Em Espécie”, “Transferência Eletrônica”, “Depósito em
Espécie”, “Cartão de Crédito”, “Cartão de Débito”, “Boleto de Cobrança”, “Estimado” e “Outros Títulos de Crédito”."
"Descrição da receita","descricao","Descrição da doação quando esta for estimável em dinheiro"
