field_name,field_type
ano_eleicao,integer
descricao_eleicao,text
codigo_totalizacao_turno,integer
descricao_totalizacao_turno,text
numero_turno,integer
codigo_municipio,integer
nome_municipio,text
sigla_ue,text
sigla_uf,text
composicao_legenda,text
nome_coligacao,text
nome_partido,text
numero_partido,integer
numero_sequencial_legenda,integer
sigla_partido,text
codigo_cargo,integer
codigo_situacao_candidatura,integer
codigo_situacao_candidatura_superior,integer
descricao_cargo,text
descricao_situacao_candidatura,text
descricao_situacao_candidatura_superior,text
nome,text
nome_urna,text
numero_sequencial,integer
numero_urna,integer
numero_zona,integer
total_votos,integer
voto_em_transito,text
