codigo_situacao_candidatura,novo_codigo_situacao_candidatura,descricao_situacao_candidatura,nova_descricao_situacao_candidatura
-1,-1,,
1,1,CADASTRADO,CADASTRADO
2,2,DEFERIDO,DEFERIDO
3,3,INAPTO,INAPTO
3,3,INDEFERIDO,INDEFERIDO
4,4,INDEFERIDO COM RECURSO,INDEFERIDO COM RECURSO
4,4,SUB JUDICE,SUB JUDICE
4,4,SUB-JUDICE,SUB JUDICE
5,5,CANCELADO,CANCELADO
5,5,CANCELAMENTO,CANCELADO
5,5,CANCELAMENTO DO PEDIDO,CANCELADO
6,6,HOMOLOGACAO DE RENUNCIA,RENUNCIA
6,6,RENUNCIA,RENUNCIA
7,7,FALECIDO,FALECIDO
7,7,FALECIMENTO,FALECIDO
8,8,HOMOLOGACAO DE DESISTENCIA,DESISTENCIA
8,8,INDEFERIDO POR IMPUGNACAO,INDEFERIDO POR IMPUGNACAO
9,9,INELEGIVEL,INELEGIVEL
9,9,NAO CONHECIMENTO DO PEDIDO,NAO CONHECIMENTO DO PEDIDO
10,10,CASSACAO DO REGISTRO,CASSADO
10,10,CASSADO,CASSADO
12,12,APTO,APTO
13,13,NAO CONHECIMENTO DO PEDIDO,NAO CONHECIMENTO DO PEDIDO
14,14,INDEFERIDO,INDEFERIDO
16,16,DEFERIDO COM RECURSO,DEFERIDO COM RECURSO
17,17,SUBSTITUTO MAJORITARIO PENDENTE DE JULGAMENTO,SUBSTITUTO PENDENTE DE JULGAMENTO
17,17,SUBSTITUTO PENDENTE DE JULGAMENTO,SUBSTITUTO PENDENTE DE JULGAMENTO
18,18,CASSADO COM RECURSO,CASSADO COM RECURSO
DEFERIDO,2,DEFERIDO,DEFERIDO
,-1,,
