nome_final,descricao
ano_eleicao,Ano da eleição. Aparece no TSE como: ANO_ELEICAO (1994).
codigo_eleicao,Código da eleição. Aparece no TSE como: CD_ELEICAO (2018). Coluna adicionada em 2018.
codigo_tipo_eleicao,Código do tipo de eleição. Aparece no TSE como: CD_TIPO_ELEICAO (2018). Coluna adicionada em 2018.
data_eleicao,Data em que ocorreu a eleição. Aparece no TSE como: DT_ELEICAO (2018). Coluna adicionada em 2018.
descricao_eleicao,"Descrição da eleição. Aparece no TSE como: DESCRICAO_ELEICAO (1994), DS_ELEICAO (2018)."
nome_tipo_eleicao,Nome do tipo de eleição. Aparece no TSE como: NM_TIPO_ELEICAO (2018). Coluna adicionada em 2018.
tipo_abrangencia_eleicao,Tipo de abrangência da eleição. Aparece no TSE como: TP_ABRANGENCIA (2018). Coluna adicionada em 2018.
codigo_totalizacao_turno,"Código da situação de totalização do candidato naquele turno. Aparece no TSE como: CODIGO_SIT_CAND_TOT (1994), CD_SIT_TOT_TURNO (2018)."
descricao_totalizacao_turno,"Descrição da situação de totalização do candidato naquele turno. Aparece no TSE como: DESC_SIT_CAND_TOT (1994), DS_SIT_TOT_TURNO (2018)."
numero_turno,"Número do turno. Aparece no TSE como: NUM_TURNO (1994), NR_TURNO (2018)."
codigo_municipio,"Código TSE do município onde ocorreu a eleição. Aparece no TSE como: CODIGO_MUNICIPIO (1994), CD_MUNICIPIO (2018)."
descricao_ue,Nome da Unidade Eleitoral do candidato (em caso de eleição majoritária é a sigla da UF que o candidato concorre e em caso de eleição municipal é o código TSE do município). Aparece no TSE como: NM_UE (2018). Coluna adicionada em 2018.
nome_municipio,"Nome do município onde ocorreu a eleição. Aparece no TSE como: NOME_MUNICIPIO (1994), NM_MUNICIPIO (2018)."
sigla_ue,"Sigla da Unidade Eleitoral (Em caso de eleição majoritária é a sigla da UF que o candidato concorre (texto) e em caso de eleição municipal é o código TSE do município (número)). Assume os valores especiais BR, ZZ e VT para designar, respectivamente, o Brasil, Exterior e Voto em Trânsito. Aparece no TSE como: SIGLA_UE (1994), SG_UE (2018)."
sigla_uf,"Sigla da Unidade da Federação em que ocorreu a eleição. Aparece no TSE como: SIGLA_UF (1994), SG_UF (2018)."
codigo_legenda,Número sequencial da coligação da qual o candidato pertence. Aparece no TSE como: SQ_COLIGACAO (2018). Coluna adicionada em 2018.
composicao_legenda,"Composição da legenda. Aparece no TSE como: COMPOSICAO_LEGENDA (1994), DS_COMPOSICAO_COLIGACAO (2018)."
nome_coligacao,Nome da legenda. Aparece no TSE como: NOME_COLIGACAO (1994).
nome_legenda,Nome da coligação da qual o candidato pertence. Aparece no TSE como: NM_COLIGACAO (2018). Coluna adicionada em 2018.
nome_partido,"Nome do partido. Aparece no TSE como: NOME_PARTIDO (1994), NM_PARTIDO (2018)."
numero_partido,"Número do partido. Aparece no TSE como: NUMERO_PARTIDO (1994), NR_PARTIDO (2018)."
numero_sequencial_legenda,Código sequencial da legenda gerado pela Justiça Eleitoral. Aparece no TSE como: SEQUENCIAL_LEGENDA (1994).
sigla_partido,"Sigla do partido. Aparece no TSE como: SIGLA_PARTIDO (1994), SG_PARTIDO (2018)."
codigo_cargo,"Código do cargo a que o candidato concorre. Aparece no TSE como: CODIGO_CARGO (1994), CD_CARGO (2018)."
codigo_detalhe_situacao_candidatura,Código do detalhe da situação do registro de candidatura do candidato. Aparece no TSE como: CD_DETALHE_SITUACAO_CAND (2018). Coluna adicionada em 2018.
codigo_situacao_candidatura,"Código da situação do registro de candidatura do candidato. Aparece no TSE como: CODIGO_SIT_CANDIDATO (1994), CD_SITUACAO_CANDIDATURA (2018)."
codigo_situacao_candidatura_superior,Código da situação de totalização do candidato superior naquele turno. Esta variável deve ser considerada apenas quando o cargo do candidato for vice ou suplente.. Aparece no TSE como: COD_SIT_CAND_SUPERIOR (1994).
descricao_cargo,"Descrição do cargo a que o candidato concorre. Aparece no TSE como: DESCRICAO_CARGO (1994), DS_CARGO (2018)."
descricao_detalhe_situacao_candidatura,Descrição do detalhe da situação do registro de candidatura do candidato. Aparece no TSE como: DS_DETALHE_SITUACAO_CAND (2018). Coluna adicionada em 2018.
descricao_situacao_candidatura,"Descrição da situação de registro de candidatura do candidato. Aparece no TSE como: DESC_SIT_CANDIDATO (1994), DS_SITUACAO_CANDIDATURA (2018)."
descricao_situacao_candidatura_superior,Descrição da situação de totalização do candidato superior naquele turno. Esta variável deve ser considerada apenas quando o cargo do candidato for vice ou suplente.. Aparece no TSE como: DESC_SIT_CAND_SUPERIOR (1994).
nome,"Nome completo do candidato. Aparece no TSE como: NOME_CANDIDATO (1994), NM_CANDIDATO (2018)."
nome_social,Nome social do candidato. Aparece no TSE como: NM_SOCIAL_CANDIDATO (2018). Coluna adicionada em 2018.
nome_urna,"Nome de urna do candidato. Aparece no TSE como: NOME_URNA_CANDIDATO (1994), NM_URNA_CANDIDATO (2018)."
numero_sequencial,Número sequencial do candidato gerado internamente pelos sistemas eleitorais. Não é o número de campanha do candidato.. Aparece no TSE como: SQ_CANDIDATO (1994).
numero_urna,"Número do candidato na urna. Aparece no TSE como: NUMERO_CAND (1994), NR_CANDIDATO (2018)."
tipo_agremiacao,Tipo de agremiação - pode assumir os valores “coligação” (quando o candidato concorre por coligação) e “partido isolado” (quando o candidato concorre somente pelo partido). Aparece no TSE como: TP_AGREMIACAO (2018). Coluna adicionada em 2018.
numero_zona,"Número da Zona Eleitoral. Aparece no TSE como: NUMERO_ZONA (1994), NR_ZONA (2018)."
total_votos,"Quantidade de votos nominais totalizados para aquele candidato naquele município e zona. Aparece no TSE como: TOTAL_VOTOS (1994), QT_VOTOS_NOMINAIS (2018)."
voto_em_transito,"Informa se o registro se refere ou não a Voto em Trânsito. Aparece no TSE como: TRANSITO (2014), ST_VOTO_EM_TRANSITO (2018). Coluna adicionada em 2014."
