nome_tse,nome_final,descricao
DT_GERACAO,,Data de geração do arquivo (data da extração)
HH_GERACAO,,Hora de geração do arquivo (hora da extração) - Horário de Brasília
ANO_ELEICAO,ano,Ano da eleição
CD_TIPO_ELEICAO,codigo_tipo_eleicao,Código do tipo de eleição
NM_TIPO_ELEICAO,tipo_eleicao,Nome do tipo de eleição
NR_TURNO,turno,Número do turno
CD_ELEICAO,codigo_eleicao,Código da eleição
DS_ELEICAO,eleicao,Descrição da eleição
DT_ELEICAO,data_eleicao,Data em que ocorreu a eleição
TP_ABRANGENCIA,tipo_abrangencia_eleicao,Tipo de abrangência da eleição
SG_UF,sigla_unidade_federativa,Sigla da Unidade da Federação em que ocorreu a eleição
SG_UE,sigla_unidade_eleitoral,Sigla da Unidade Eleitoral do candidato (em caso de eleição majoritária é a sigla da UF que o candidato concorre e em caso de eleição municipal é o código TSE do município)
NM_UE,unidade_eleitoral,Nome da Unidade Eleitoral do candidato (em caso de eleição majoritária é a sigla da UF que o candidato concorre e em caso de eleição municipal é o código TSE do município)
CD_MUNICIPIO,codigo_municipio,Código TSE do município onde ocorreu a eleição
NM_MUNICIPIO,nome_municipio,Nome do município onde ocorreu a eleição
NR_ZONA,numero_zona,Número da Zona Eleitoral
CD_CARGO,codigo_cargo,Código do cargo a que o candidato concorre
DS_CARGO,cargo,Descrição do cargo ao qual o candidato concorre
SQ_CANDIDATO,numero_sequencial,Número sequencial do candidato gerado internamente pelos sistemas eleitorais (não é o número da campanha do candidato)
NR_CANDIDATO,numero_urna,Nümero do candidato na urna
NM_CANDIDATO,nome,Nome completo do candidato
NM_URNA_CANDIDATO,nome_urna,Nome de urna do candidato
NM_SOCIAL_CANDIDATO,nome_social,Nome social do candidato
CD_SITUACAO_CANDIDATURA,codigo_situacao_candidatura,Código da situação do registro de candidatura do candidato
DS_SITUACAO_CANDIDATURA,situacao_candidatura,"Descrição da situação do registro de candidatura do candidato - pode assumir os valores “apto (apto para ir para urna)”, “inapto” (inapto para ir para urna) e “cadastrado” (registro de candidatura realizado, mas ainda não julgado)"
CD_DETALHE_SITUACAO_CAND,codigo_detalhe_situacao_candidatura,Código do detalhe da situação do registro de candidatura do candidato
DS_DETALHE_SITUACAO_CAND,detalhe_situacao_candidatura,Descrição do detalhe da situação do registro de candidatura do candidato
TP_AGREMIACAO,tipo_agremiacao,Tipo de agremiação - pode assumir os valores “coligação” (quando o candidato concorre por coligação) e “partido isolado” (quando o candidato concorre somente pelo partido)
NR_PARTIDO,numero_partido,Número do partido do candidato
SG_PARTIDO,sigla_partido,Sigla do partido do candidato
NM_PARTIDO,partido,Nome do partido do candidato
SQ_COLIGACAO,codigo_legenda,Número sequencial da coligação da qual o candidato pertence
NM_COLIGACAO,nome_legenda,Nome da coligação da qual o candidato pertence
DS_COMPOSICAO_COLIGACAO,composicao_legenda,Descrição da composição da coligação da qual o candidato pertence
CD_SIT_TOT_TURNO,codigo_totalizacao_turno,Código da situação de totalização do candidato naquele turno
DS_SIT_TOT_TURNO,totalizacao_turno,Descrição da situação de totalização do candidato naquele turno
ST_VOTO_EM_TRANSITO,voto_em_transito,O indicativo se o quantitativo de votos se refere em trânsito. Pode assumir valores S para Sim e N para Não
QT_VOTOS_NOMINAIS,total_votos,Quantidade de votos nominais totalizados para aquele candidato naquele município e zona
