"field_name","field_type"
"pessoa_uuid","uuid"
"candidatura_uuid","uuid"
"ano","integer"
"candidatura_inserida_urna","bool"
"codigo_cargo","integer"
"codigo_etnia","integer"
"codigo_detalhe_situacao_candidatura","integer"
"codigo_eleicao","text"
"codigo_estado_civil","integer"
"codigo_genero","integer"
"codigo_grau_instrucao","integer"
"codigo_legenda","text"
"codigo_municipio_nascimento","integer"
"codigo_nacionalidade","integer"
"codigo_ocupacao","integer"
"codigo_situacao_candidatura_pleito","integer"
"codigo_situacao_candidatura_urna","integer"
"codigo_situacao_candidatura","integer"
"codigo_tipo_eleicao","text"
"codigo_totalizacao_turno","integer"
"composicao_legenda","text"
"concorre_reeleicao","text"
"cpf","text"
"data_eleicao","date"
"data_nascimento","date"
"declara_bens","text"
"cargo","text"
"etnia","text"
"detalhe_situacao_candidatura","text"
"eleicao","text"
"estado_civil","text"
"genero","text"
"grau_instrucao","text"
"nacionalidade","text"
"ocupacao","text"
"situacao_candidatura_pleito","text"
"situacao_candidatura_urna","text"
"situacao_candidatura","text"
"totalizacao_turno","text"
"unidade_eleitoral","text"
"despesa_maxima_campanha","text"
"email","text"
"idade_data_eleicao","integer"
"idade_data_posse","integer"
"nome","text"
"legenda","text"
"municipio_nascimento","text"
"partido","text"
"nome_social","text"
"tipo_eleicao","text"
"nome_urna","text"
"numero_partido","integer"
"numero_processo_candidatura","text"
"numero_protocolo_candidatura","text"
"numero_sequencial","text"
"turno","integer"
"numero_urna","integer"
"pergunta","text"
"sigla_legenda","text"
"sigla_partido","text"
"sigla_unidade_eleitoral","text"
"sigla_unidade_federativa","text"
"sigla_unidade_federativa_nascimento","text"
"tipo_abrangencia_eleicao","text"
"tipo_agremiacao","text"
"titulo_eleitoral","text"
"numero_federacao","text"
"federacao","text"
"situacao_candidato_tot","text"
"codigo_situacao_candidato_tot","text"
"situacao_prestacao_contas","text"
"composicao_federacao","text"
"tipo_destinacao_votos","text"
"sigla_federacao","text"
"federacao_composicao","text"
"federacao_numero","integer"
"federacao_sigla","text"
"data_aceite","date"
"ordem_suplencia","text"
"sequencial_substituido","text"
"status_substituido","text"
