field_name,field_type
ano_eleicao,text
codigo_ue,text
codigo_ue_doador,text
nome_ue,text
nome_ue_doador,text
numero_sequencial_candidato,text
numero_sequencial_comite,text
sigla_ue,text
sigla_ue_doador,text
sigla_uf,text
sigla_uf_doador,text
cnpj_candidato,text
cpf_candidato,text
cpf_vice_candidato,text
nome_candidato,text
numero_candidato,text
numero_candidato_doador,text
nome_partido,text
nome_partido_doador,text
numero_partido,text
numero_partido_doador,text
sigla_partido,text
sigla_partido_doador,text
tipo_comite,text
tipo_partido,text
cargo_doador,text
codigo_cargo_doador,text
codigo_esfera_partidaria_doador,text
codigo_setor_economico_doador,text
codigo_setor_economico_doador_originario,text
cpf_cnpj_doador,text
cpf_cnpj_doador_originario,text
esfera_partidaria_doador,text
nome_doador,text
nome_doador_originario,text
nome_doador_originario_receita_federal,text
nome_doador_receita_federal,text
setor_economico_doador,text
setor_economico_doador_originario,text
tipo_doador_originario,text
codigo_especie_recurso,text
codigo_fonte_recurso,text
codigo_natureza_receita,text
codigo_origem_receita,text
codigo_tipo_receita,text
codigo_tipo_recurso,text
descricao_receita,text
especie_recurso,text
fonte_recurso,text
natureza_receita,text
origem_receita,text
tipo_recurso,text
cnpj,text
codigo_cargo,text
codigo_eleicao,text
codigo_esfera_partidaria,text
codigo_tipo,text
codigo_tipo_eleicao,text
cpf_administrador,text
cpf_vice_suplente,text
data,text
data_eleicao,text
data_prestacao_contas,text
descricao,text
descricao_cargo,text
descricao_eleicao,text
descricao_orgao,text
descricao_tipo,text
entrega_em_conjuto,text
esfera_partidaria,text
nome_administrador,text
nome_tipo_eleicao,text
numero_documento,text
numero_recibo,text
numero_recibo_eleitoral,text
segundo_turno,text
sexo,text
situacao_cadastral,text
tipo,text
tipo_diretorio,text
tipo_documento,text
tipo_prestacao_contas,text
titulo_eleitoral,text
valor,text
