field_name,field_type
ano_eleicao,integer
municipio,text
nome_ue,text
nome_ue_1,text
nome_ue_fornecedor,text
numero_ue,text
sequencial_candidato,text
sequencial_comite,text
sequencial_diretorio,text
sequencial_prestador_conta,text
sigla_ue,text
sigla_ue_1,text
sigla_ue_fornecedor,text
sigla_ue_superior,text
sigla_ue_superior_1,text
sigla_uf,text
sigla_uf_fornecedor,text
cnpj_candidato,text
cpf_candidato,text
cpf_cnpf_candidato,text
cpf_cnpj_candidato,text
nome_candidato,text
numero_candidato,text
numero_partido,text
sigla_partido,text
tipo_comite,text
tipo_partido,text
codigo_setor_economico_doador,text
codigo_setor_economico_fornecedor,text
cpf_cnpj_fornecedor,text
nome_fornecedor,text
nome_fornecedor_receita_federal,text
setor_economico_fornecedor,text
codigo_especie_recurso,text
codigo_tipo_despesa,text
data_despesa,text
dec_tipo_recurso,text
descricao_despesa,text
especie_recurso,text
fonte_recurso,text
numero_document_despesa,text
numero_documento_despesa,text
tipo_despesa,text
tipo_recurso,text
valor_despesa,text
cargo,text
cnpj,text
codigo_cargo,text
codigo_cpf_cgc,text
codigo_documento,text
codigo_forma_pagamento,text
codigo_tipo_documento,text
codigo_titulo,text
cpf_administrador,text
cpf_vice_suplente,text
descricao_cargo,text
descricao_eleicao,text
descricao_forma_pagamento,text
descricao_municipio,text
descricao_numero_documento,text
descricao_orgao,text
descricao_tipo_documento,text
descricao_titulo,text
entrega_em_conjuto,text
forma_pagamento,text
nome_administrador,text
nome_membro,text
nome_urna,text
numero_cpf,text
numero_documento,text
numero_urna,text
rv_meaning,text
rv_meaning_1,text
situacao_cadastral,text
tipo_diretorio,text
tipo_documento,text
