field_name,field_type
ano_eleicao,integer
municipio,text
nome_ue,text
nome_ue_1,text
numero_ue,text
sequencia_candidato,text
sequencial_candidato,text
sequencial_comite,text
sequencial_diretorio,text
sequencial_prestador_conta,text
sigla_ue,text
sigla_ue_1,text
sigla_ue_doador,text
sigla_ue_superior,text
sigla_ue_superior_1,text
sigla_uf,text
sigla_uf_doador,text
cnpj_candidato,text
cpf_candidato,text
nome_candidato,text
numero_candidato,text
numero_candidato_doador,text
numero_partido,text
numero_partido_doador,text
numero_partido_eleitoral,text
sigla_partido,text
tipo_comite,text
tipo_partido,text
codigo_setor_economico_doador,text
cpf_cnpj_doador,text
cpf_cnpj_doador_originario,text
cpf_cnpj_fornecedor,text
nome_doador,text
nome_doador_originario,text
nome_doador_originario_receita_federal,text
nome_doador_receita_federal,text
setor_economico_doador,text
setor_economico_doador_originario,text
tipo_doador_originario,text
codigo_especie_recurso,text
codigo_tipo_receita,text
codigo_tipo_recurso,text
data_receita,text
dec_tipo_recurso,text
descricao_receita,text
descricao_recurso,text
descricao_tipo_recurso,text
especie_recurso,text
fonte_recurso,text
rec_tipo_recurso,text
tipo_receita,text
tipo_recurso,text
valor_receita,text
cargo,text
cnpj,text
codigo_cargo,text
codigo_titulo,text
codigo_titulo_trim,text
cpf_administrador,text
cpf_vice_suplente,text
descricao_cargo,text
descricao_eleicao,text
descricao_numero_titulo_eleitor,text
descricao_orgao,text
descricao_titulo,text
entrega_em_conjuto,text
nome_administrador,text
nome_membro,text
nome_urna,text
numero_cpf,text
numero_documento,text
numero_recibo_eleitoral,text
numero_urna,text
rv_meaning,text
sexo,text
situacao_cadastral,text
tipo_diretorio,text
tipo_documento,text
